"","X.3","X.2","X.1","X","hyena_ID","date_sampling","sample_ID.x","clan","sex","birthdate","age_sampling","age_sampling_cat","mucin","IgA","CSocialRank","genetic_mum"
"195",195,195,195,195,"P809","11/15/2016","B8459","P","M","6/19/2016",149,"sampled_as_juvenile",114.0192892,309251.9267,0.75,"P589"
"196",196,196,196,196,"P810","1/31/2017","B8861","P","M","6/11/2016",234,"sampled_as_juvenile",64.98758268,323186.2461,-0.74,"P535"
"197",197,197,197,197,"P812","9/20/2016","B8276","P","F","6/11/2016",101,"sampled_as_juvenile",105.2859197,567257.0355,-0.76,"P535"
"198",198,198,198,198,"P814","10/14/2016","B8366","P","F","7/22/2016",84,"sampled_as_juvenile",304.0124773,7259642.14,1,"P518"
"199",199,199,199,199,"P815","10/10/2016","B8332","P","M","7/22/2016",80,"sampled_as_juvenile",471.3832369,5701785.013,1,"P518"
"200",200,200,200,200,"P816","10/9/2016","B8320","P","F","8/18/2016",52,"sampled_as_juvenile",344.8755762,6499436.461,0.19,"P473"
"201",201,201,201,201,"P819","1/20/2017","B8846","P","F","8/10/2016",163,"sampled_as_juvenile",88.5436493,87588.24559,-0.69,"P614"
"202",202,202,202,202,"P819","3/15/2017","B9023","P","F","8/10/2016",217,"sampled_as_juvenile",99.86351572,897631.6751,-0.68,"P614"
"203",203,203,203,203,"P820","12/19/2016","B8718","P","F","8/10/2016",131,"sampled_as_juvenile",34.62475339,90380.01936,-0.69,"P614"
"204",204,204,204,204,"P820","2/23/2017","B8964","P","F","8/10/2016",197,"sampled_as_juvenile",101.1777477,187204.5199,-0.68,"P614"
"205",205,205,205,205,"P823","11/28/2016","B8589","P","F","9/2/2016",87,"sampled_as_juvenile",NA,NA,0.69,"P526"
"206",206,206,206,206,"P823","1/3/2017","B8748","P","F","9/2/2016",123,"sampled_as_juvenile",78.18194805,296934.2878,0.69,"P526"
"207",207,207,207,207,"P824","11/29/2016","B8601","P","F","9/2/2016",88,"sampled_as_juvenile",NA,NA,0.69,"P526"
"208",208,208,208,208,"P827","1/2/2017","B8738","P","F","9/5/2016",119,"sampled_as_juvenile",121.389157,4544810.269,-0.18,"P616"
"209",209,209,209,209,"P854","9/21/2017","B9474","P","M","5/29/2017",115,"sampled_as_juvenile",72.67902454,59432.53424,-0.21,"P438"
"210",210,210,210,210,"P857","9/21/2017","B9482","P","F","5/29/2017",115,"sampled_as_juvenile",NA,NA,-0.21,"P438"
